3509595,Dallas,Eakins,USA,1967,2,27,0,0,L,0,1,1,1753000,1,24,1,0,0,0,,6,7,5,6,5,8,0,0,0,0,0,0
3509596,Geoff,Ward,CAN,1962,8,4,0,0,L,2,1,1,955000,2,24,5,5,0,0,,6,6,3,6,6,6,0,0,0,0,0,0
3509597,Newell,Brown,CAN,1962,2,14,0,0,L,0,1,1,852000,1,24,5,5,0,0,,6,6,3,6,4,4,0,0,0,0,0,0
3509598,Joël,Bouchard,CAN,1974,1,23,0,0,L,2,1,1,750000,3,128,5,5,0,0,,6,6,3,4,4,7,0,0,0,0,0,0
3509599,André,Tourigny,CAN,1974,5,30,0,0,L,0,2,1,1550000,3,53,1,0,0,0,,7,7,4,5,6,8,0,0,0,0,0,0
3509600,Cory,Stillman,CAN,1973,12,20,0,0,L,0,0,1,750000,2,53,5,5,0,0,,7,5,3,7,4,5,0,0,0,0,0,0
3509601,Phil,Housley,USA,1964,3,9,0,0,L,0,2,1,750000,2,53,5,5,0,0,,5,7,4,7,5,6,0,0,0,0,0,0
3509602,Jay,Varady,USA,1977,9,16,0,0,L,2,1,1,700000,2,131,5,5,0,0,,5,5,4,5,6,6,0,0,0,0,0,0
3509603,Bruce,Cassidy,CAN,1965,5,20,0,0,L,3,2,1,2575000,1,6,1,0,0,0,,8,8,6,7,8,7,0,0,0,0,0,0
3509604,Chris,Kelly,CAN,1980,11,11,0,0,L,2,2,1,875000,1,6,5,5,0,0,,6,6,3,4,4,5,0,0,0,0,0,0
3509605,Joe,Sacco,USA,1969,4,2,0,0,L,2,0,1,775000,1,6,5,5,0,0,,6,5,3,6,6,4,0,0,0,0,0,0
3509606,Ryan,Mougenel,CAN,1976,1,1,0,0,L,2,0,1,750000,2,106,5,5,0,0,,5,4,2,5,5,6,0,0,0,0,0,0
3509607,Don,Granato,USA,1967,11,8,0,0,L,0,0,1,1650000,3,7,1,0,0,0,,7,7,5,6,5,8,0,0,0,0,0,0
3509608,Jason,Christie,CAN,1969,4,25,0,0,L,0,1,1,750000,2,7,5,5,0,0,,4,4,3,5,6,6,0,0,0,0,0,0
3509609,Matt,Ellis,CAN,1981,8,31,0,0,L,0,0,1,825000,2,7,5,5,0,0,,7,6,2,6,4,6,0,0,0,0,0,0
3509610,Seth,Appert,USA,1974,9,8,0,0,L,2,1,1,785000,2,113,5,5,0,0,,6,6,6,3,3,5,0,0,0,0,0,0
3509611,Darryl,Sutter,CAN,1958,8,19,0,0,L,2,1,1,2550000,2,20,1,0,0,0,,7,8,6,6,7,4,0,0,0,0,0,0
3509612,Ryan,Huska,CAN,1975,7,2,0,0,L,2,2,1,778000,2,20,5,5,0,0,,6,7,3,6,5,7,0,0,0,0,0,0
3509613,Kirk,Muller,CAN,1966,2,8,0,0,L,2,0,1,955000,2,20,5,5,0,0,,7,6,3,6,6,6,0,0,0,0,0,0
3509614,Mitch,Love,CAN,1984,6,15,0,0,L,2,2,1,750000,3,130,5,5,0,0,,5,6,3,4,4,6,0,0,0,0,0,0
3509615,Rod,Brind'Amour,CAN,1970,8,9,0,0,L,2,0,1,2500000,3,12,1,0,0,0,,8,8,6,7,7,8,0,0,0,0,0,0
3509616,Jeff,Daniels,CAN,1968,6,24,0,0,L,2,0,1,865000,3,12,5,5,0,0,,6,5,3,5,5,4,0,0,0,0,0,0
3509617,Jason,Muzzatti,CAN,1970,2,3,0,0,L,2,2,1,750000,3,12,5,5,0,0,,2,3,8,3,4,6,0,0,0,0,0,0
3509618,Ryan,Warsofsky,USA,1987,10,26,0,0,L,0,2,1,750000,2,117,5,5,0,0,,5,6,4,4,5,6,0,0,0,0,0,0
3509619,Jared,Bednar,CAN,1972,2,28,0,0,L,2,1,1,1550000,1,21,1,0,0,0,,7,8,6,7,7,6,0,0,0,0,0,0
3509620,Ray,Bennett,CAN,1962,5,17,0,0,L,2,0,1,850000,1,21,5,5,0,0,,6,5,3,6,5,5,0,0,0,0,0,0
3509621,Nolan,Pratt,CAN,1975,8,14,0,0,L,2,2,1,775000,1,21,5,5,0,0,,4,6,2,5,6,5,0,0,0,0,0,0
3509622,Greg,Cronin,USA,1963,6,2,0,0,L,0,1,1,750000,2,126,5,5,0,0,,6,6,2,5,7,6,0,0,0,0,0,0
3509623,Brad,Larsen,CAN,1977,6,28,0,0,L,2,0,1,1500000,3,29,1,0,0,0,,7,7,5,7,5,7,0,0,0,0,0,0
3509624,Sylvain,Lefebvre,CAN,1967,10,14,0,0,L,2,2,1,750000,2,29,5,5,0,0,,5,6,2,5,6,5,0,0,0,0,0,0
3509625,Pascal,Vincent,CAN,1971,9,22,0,0,L,0,2,1,750000,3,29,5,5,0,0,,5,6,4,7,5,5,0,0,0,0,0,0
