22,12,8,1,2022112
22,12,8,3,2022312
22,9,19,4,202249
22,8,53,1,202218
24,8,53,2,202428
22,12,53,1,2022112
22,8,8,1,202218
22,28,28,7,2022728
22,54,7,1,2022154
23,54,7,2,2023254
23,7,54,3,202337
24,20,8,5,2024520
22,20,8,1,2022120
24,20,8,5,2024520
22,20,8,1,2022120
25,10,53,2,2025210
23,21,24,2,2023221
22,3,13,4,202243
23,13,8,1,2023113
22,13,55,2,2022213
23,20,55,3,2023320
24,20,55,7,2024720
23,14,16,1,2023114
24,14,16,1,2024114
22,16,14,4,2022416
24,16,14,4,2024416
23,30,24,3,2023330
22,6,24,1,202216
23,6,24,2,202326
24,6,24,2,202426
22,3,8,4,202243
22,3,8,4,202243
22,3,8,4,202243
24,13,4,1,2024113
23,13,4,3,2023313
24,4,13,5,202454
22,20,7,6,2022620
22,23,23,3,2022323
22,26,17,7,2022726
22,52,10,3,2022352
22,10,55,2,2022210
23,10,55,2,2023210
24,10,55,3,2024310
24,14,9,4,2024414
23,25,53,4,2023425
22,18,55,2,2022218
23,52,55,4,2023452
22,23,30,2,2022223
22,15,55,4,2022415
23,15,55,6,2023615
22,53,52,4,2022453
22,30,16,2,2022230
23,3,4,3,202333
22,6,9,5,202256
22,9,6,7,202279
23,19,17,2,2023219
22,28,28,5,2022528
24,21,8,2,2024221
23,3,23,4,202343
24,21,28,5,2024521
23,22,8,2,2023222
23,15,53,3,2023315
22,52,9,5,2022552
23,52,3,6,2023652
22,19,52,2,2022219
22,3,52,2,202223
23,3,52,5,202353
23,22,22,2,2023222
22,22,8,2,2022222
24,22,8,7,2024722
22,5,24,2,202225
23,22,4,4,2023422
24,25,17,4,2024425
24,20,16,5,2024520
23,20,8,5,2023520
24,54,24,2,2024254
24,54,54,2,2024254
