8,1,214-0-1,255-255-255,7-42-137,0,255-255-255,0-0-0,1,255-255-255,7-42-137
24,2,25-25-25,25-25-25,210-91-48,0,255-255-255,0-0-0,1,255-255-255,210-91-48
53,2,155-42-52,155-42-52,155-42-52,0,255-255-255,0-0-0,1,255-255-255,0-0-0
6,3,33-33-33,252-181-19,255-255-255,0,252-181-19,0-0-0,1,252-181-19,255-255-255
7,4,17-30-73,244-191-23,255-255-255,0,244-191-23,0-0-0,1,244-191-23,255-255-255
20,5,216-13-14,255-194-57,255-255-255,1,255-255-255,0-0-0,1,0-0-0,255-255-255
12,6,212-37-49,22-22-22,255-255-255,0,255-255-255,0-0-0,1,255-255-255,0-0-0
16,7,216-13-14,255-255-255,25-23-27,0,255-255-255,0-0-0,1,255-255-255,0-0-0
21,8,126-39-55,38-95-159,166-168-167,0,255-255-255,0-0-0,1,255-255-255,0-0-0
29,9,6-26-76,223-66-69,255-255-255,0,255-255-255,0-0-0,1,255-255-255,223-66-69
25,10,2-111-74,255-255-255,0-0-0,0,255-255-255,0-0-0,0,255-255-255,0-0-0
17,2,226-29-29,255-255-255,226-29-29,0,255-255-255,0-0-0,0,255-255-255,0-0-0
22,18,255-81-8,23-35-80,255-255-255,0,255-255-255,0-0-0,1,23-35-80,255-255-255
13,2,208-22-34,208-22-34,208-22-34,0,255-255-255,255-255-255,0,255-255-255,255-255-255
26,9,33-33-33,255-255-255,218-218-218,0,255-255-255,0-0-0,1,255-255-255,218-218-218
30,5,19-62-56,238-225-197,19-62-56,0,238-225-197,0-0-0,1,238-225-197,183-13-14
18,12,252-189-44,3-1-68,255-255-255,0,3-1-68,0-0-0,1,3-1-68,255-255-255
1,19,216-25-25,25-23-27,216-25-25,0,255-255-255,0-0-0,1,255-255-255,0-0-0
2,13,12-46-132,255-255-255,242-92-27,1,255-255-255,242-92-27,1,255-255-255,242-92-27
3,10,31-54-145,255-255-255,214-0-0,1,214-0-0,255-255-255,1,214-0-0,255-255-255
9,2,211-7-6,211-7-6,211-7-6,0,255-255-255,0-0-0,1,255-255-255,0-0-0
4,14,255-92-5,255-255-255,255-255-255,1,0-0-0,255-255-255,1,255-255-255,0-0-0
5,13,35-31-32,246-208-81,255-255-255,0,246-208-81,255-255-255,1,246-208-81,255-255-255
28,2,49-127-137,49-127-137,49-127-137,0,255-255-255,0-0-0,1,255-255-255,0-0-0
19,15,24-73-165,255-255-255,249-195-43,0,255-255-255,0-0-0,1,249-195-43,255-255-255
14,14,9-47-132,255-255-255,255-255-255,0,255-255-255,0-0-0,0,255-255-255,0-0-0
10,14,9-47-132,255-255-255,255-255-255,0,255-255-255,0-0-0,0,255-255-255,0-0-0
23,16,5-65-155,255-255-255,17-127-85,0,255-255-255,0-0-0,0,255-255-255,0-0-0
54,12,91-87-95,0-0-0,217-183-113,0,255-255-255,0-0-0,1,255-255-255,217-183-113
15,10,226-25-42,226-25-42,16-24-61,0,255-255-255,0-0-0,1,255-255-255,16-24-61
52,17,0-45-98,20-104-168,255-255-255,0,255-255-255,0-0-0,1,255-255-255,20-104-168
55,26,9-32-48,158-220-219,233-7-43,0,158-220-219,0-0-0,1,158-220-219,105-162-182
400,20,218-41-28,0-0-0,255-255-255,1,255-255-255,0-0-0,1,255-255-255,0-0-0
