1004358,Connor,Bedard,CAN,2005,7,17,59,181,R,5,1,0,0,0,0,0,1,2,98,0,4.241,0,1,2022,0,SNP,85,78
1004357,Matvei,Michkov,RUS,2004,12,9,510,159,L,5,2,0,0,0,0,0,1,2,39,0,,0,2,2022,1,SNP,84,78
1010205,Adam,Fantilli,CAN,2004,10,12,62,190,L,4.5,2,0,0,0,0,0,0,2,19,0,3.226,0,1,2022,1,PLM,78,74
1010204,Theo,Lindstein,SWE,2005,1,5,60,176,L,4,1,0,0,0,0,0,1,1,73,0,3.218,0,3,2022,4,DFD,65,74
1010203,Quentin,Musty,USA,2005,7,5,62,203,L,4,1,0,0,0,0,0,0,2,27,0,3.227,0,0,2022,4,PWF,72,66
1010202,Brayden,Yager,CAN,2005,1,3,60,161,R,4.5,2,0,0,0,0,0,1,2,29,0,4.239,0,2;0,2022,2,SNP,76,72
1010206,Dalibor,Dvorsky,SVK,2005,6,15,61,190,L,4.5,2,0,0,0,0,0,1,2,15,0,4.249,0,1,2022,3,TWF,74,72
1034364,Aron,Kiviharju,FIN,2006,1,25,510,157,L,5,2,0,0,0,0,0,1,1,33,0,,0,3,2023,0,OFD,80,78
1034365,Berkly,Catton,CAN,2006,1,14,511,154,L,4.5,1,0,0,0,0,0,1,2,27,0,4.258,0,1;0,2023,1,PLM,79,74
1034366,Riley,Heidt,CAN,2005,3,25,511,179,L,4,1,0,0,0,0,0,1,2,27,0,4.252,0,1;0,2022,4,PLM,72,70
1034367,Koehn,Ziemmer,CAN,2004,12,8,60,194,R,4,1,0,0,0,0,0,1,2,13,0,4.252,0,2,2022,3,SNP,75,68
1034368,Otto,Stenberg,SWE,2005,5,29,511,176,L,4.5,2,0,0,0,0,0,1,2,28,0,,0,1,2022,2,PLM,75,72
1037009,Cole,Eiserman,USA,2006,8,29,60,181,L,4.5,2,0,0,0,0,0,1,2,19,0,,0,0;2,2023,1,SNP,77,70
1037010,Alexander,Zetterberg,SWE,2006,4,27,58,157,R,4.5,2,0,0,0,0,0,1,2,12,0,,0,1,2023,2,TWF,72,72
1050166,Ethan,Gauthier,CAN,2005,1,26,511,174,R,4,2,0,0,0,0,0,1,2,79,0,2.216,0,2,2022,5,PLM,66,62
1050186,Zach,Benson,CAN,2005,5,12,510,150,L,4,1,0,0,0,0,0,1,2,9,0,4.243,0,0;1,2022,4,PLM,74,66
1050187,Macklin,Celebrini,CAN,2006,6,16,511,181,L,4.5,2,0,0,0,0,0,1,2,17,0,4.257,0,0,2023,3,SNP,75,67
1050188,Ivan,Demidov,SWE,2005,12,10,511,168,L,4.5,2,0,0,0,0,0,1,2,95,0,,0,0;1,2023,2,SNP,74,68
1050189,Linus,Eriksson,SWE,2006,3,23,510,163,L,4,1,0,0,0,0,0,1,2,17,0,,0,1,2023,3,TWF,65,65
1050190,Michael,Misa,CAN,2007,7,19,58,156,L,4.5,1,0,0,0,0,0,1,2,66,0,3.224,0,1;0,2024,0,PLM,81,73
1055368,Sergei,Ovechkin,RUS,2018,8,18,61,187,R,5,2,0,0,0,0,0,1,2,88,0,,0,2;0,2035,0,SNP,84,74
1057976,Colby,Barlow,CAN,2005,2,14,61,190,R,4,2,0,0,0,0,0,1,2,39,0,3.232,0,1;2,2022,5,PWF,70,66
1057977,Noah,Dower Nilsson,SWE,2005,4,25,511,154,L,4,3,0,0,0,0,0,1,2,33,0,,0,1,2022,5,PLM,70,64
1057978,Lukas,Dragicevic,CAN,2005,4,25,62,181,R,4,3,0,0,0,0,0,1,2,2,0,4.259,0,4,2022,6,OFD,68,65
1057979,Nathan,Drapeau,CAN,2004,12,28,511,185,L,3.5,2,0,0,0,0,0,1,2,25,0,,0,3,2022,6,DFD,62,68
1057980,Noah,Erliden,SWE,2005,9,9,59,168,L,4,2,0,0,0,0,0,1,2,35,0,,0,5,2022,6,HYB,65,65
1057981,Zeb,Forsfjäll,SWE,2005,1,16,59,161,L,3.5,2,0,0,0,0,0,1,2,39,0,,0,0;1,2022,6,TWF,66,64
1057982,Emil,Järventie,FIN,2005,4,4,510,159,L,4,3,0,0,0,0,0,1,2,18,0,,0,1;0,2022,5,SNP,69,65
1057983,Arttu,Kärki,FIN,2004,12,8,62,176,L,4,2,0,0,0,0,0,1,2,39,0,,0,3,2022,5,OFD,71,66
1057984,Connor,Levis,CAN,2004,10,5,62,194,R,4,2,0,0,0,0,0,1,2,15,0,4.250,0,1,2022,6,TWF,65,65
1057985,Kalan,Lind,CAN,2005,1,5,60,152,L,4,2,0,0,0,0,0,1,2,13,0,4.248,0,0;2,2022,6,SNP,68,62
1057986,Ondrej,Molnar,SVK,2005,2,8,60,176,L,4,1,0,0,0,0,0,1,2,10,0,,0,0,2022,3,SNP,74,69
