1002295,Max,Domi,CAN,1991,3,2,510,194,L,4,2,2013,1,12,53,12,1,3,16,2016,0.12;1.117,0,1;0,PLM,2022,2250000,1,-1,82,78
1002296,Jeff,Petry,USA,1983,12,9,63,208,R,4,2,2006,2,45,22,10,0,1,-1,2011,0.1;1.115,0,4,TWD,2022,1000000,1,-1,78,80
1002297,Jonathan,Drouin,CAN,1991,3,28,60,201,L,4,2,2013,1,3,14,2,2,1,92,2015,0.2;1.101,0,0;1,PLM,2022,4700000,2,-1,86,82
1002298,Tomas,Tatar,SVK,1986,12,1,510,185,L,4,2,2009,2,60,17,2,0,1,90,2014,0.2;1.101,0,0;2,SNP,2022,1300000,1,-1,82,78
1002299,Brendan,Gallagher,CAN,1988,5,6,59,183,R,4,2,2010,5,147,8,8,2,1,11,2013,0.8;1.112,0,2,TWF,2022,6500000,1,-1,80,86
1002300,Phillip,Danault,CAN,1989,2,24,61,195,L,4,2,2011,1,26,16,26,0,2,24,2016,0.26;1.127,0,1,TWF,2022,5500000,1,-1,82,88
1002302,Artturi,Lehkonen,FIN,1991,7,4,511,178,L,3.5,2,2013,2,55,8,54,1,1,62,2017,0.54;1.123,0,0;2,TWF,2022,2250000,1,-1,79,85
1002303,Ben,Chiarot,CAN,1987,5,9,63,234,L,3.5,2,2009,4,120,416,100,2,2,77,2015,0.1;0,0,3,TWD,2022,0,0,-1,79,81
1002304,Brett,Kulak,CAN,1990,1,6,62,192,L,3.5,2,2012,4,105,20,53,0,1,17,2017,0.53;1.131,0,3,DFD,2022,1500000,1,-1,76,84
1002306,Joel,Armia,FIN,1989,5,31,63,212,R,3.5,2,2011,1,16,7,100,2,1,-1,2016,0.1;0,0,2,TWF,2022,0,0,-1,77,83
1002307,Nick,Suzuki,CAN,1995,8,10,511,208,R,4.5,2,2017,1,13,54,8,1,1,14,2020,0.8;1.112,0,1;2,PLM,2022,7875000,4,-1,90,86
1002308,Victor,Mete,CAN,1994,6,7,59,184,L,3.5,2,2016,4,100,8,100,0,1,98,2018,0.1;0,0,3;4,TWD,2022,0,0,-1,78,80
1002309,Jesperi,Kotkaniemi,FIN,1996,7,6,62,194,L,4.5,3,2018,1,3,8,52,1,2,82,2019,0.52;1.12,0,1;0,PLM,2022,4250000,3,-1,85,81
1002310,Charles,Hudon,CAN,1990,6,23,510,187,L,3.5,2,2012,5,122,8,100,1,2,54,2018,0.1;0,0,0;2,SNP,2022,0,0,-1,78,74
1002312,Xavier,Ouellet,FRA,1989,7,29,61,185,L,3.5,2,2011,2,48,17,100,1,2,61,2015,0.1;0,0,3;4,DFD,2022,0,0,-1,72,80
1002313,Gustav,Olofsson,SWE,1990,12,1,63,196,L,3.5,2,2013,2,46,30,100,1,2,23,2018,0.1;0,0,3,DFD,2022,0,0,-1,71,79
1002315,Charlie,Lindgren,USA,1989,12,18,61,182,R,3.5,2,0,0,0,0,100,1,1,46,2018,0.1;0,0,5,HYB,2022,0,0,-1,76,76
1002317,Noah,Juulsen,CAN,1993,4,2,63,191,R,4,2,2015,1,26,8,100,2,2,58,2019,0.1;0,0,4,DFD,2022,0,0,-1,73,81
1002318,Cale,Fleury,CAN,1994,11,19,61,213,R,3.5,2,2017,3,87,8,100,1,2,83,2020,0.1;0,0,4,TWD,2022,0,0,-1,77,79
1002319,Ryan,Poehling,USA,1995,1,3,62,197,L,4,2,2017,1,25,8,9,1,1,21,2020,0.9;1.109,0,1;0,SNP,2022,950000,1,-1,81,77
1002322,Laurent,Dauphin,CAN,1991,3,27,61,181,L,3.5,2,2013,2,39,53,100,2,2,45,2017,0.1;0,0,1;0,TWF,2022,0,0,-1,72,78
1002323,Josh,Brook,CAN,1995,6,17,61,192,R,4,2,2017,2,56,8,13,2,2,46,0,0.13;1.102,0,4,TWD,2022,1150000,1,-1,78,80
1002324,Alexander,Romanov,RUS,1996,1,6,60,208,L,4,2,2018,2,38,8,8,2,2,27,2021,0.8;1.112,0,3;4,TWD,2022,1750000,2,-1,79,81
1002326,Cayden,Primeau,USA,1995,8,11,63,198,L,4,3,2017,7,199,8,8,1,1,30,0,0.8;1.112,0,5,HYB,2022,3250000,1,-1,83,83
1002327,Jesse,Ylönen,USA,1995,10,3,61,187,R,4,2,2018,2,35,8,53,1,1,56,0,0.53;1.131,0,2,PLM,2022,3650000,2,-1,85,81
1002328,Jacob,Olofsson,SWE,1996,2,8,62,196,L,3,2,2018,2,56,8,100,1,1,-1,0,0.1;0,0,1,TWF,2022,0,0,-1,62,68
1002329,Cameron,Hillis,CAN,1996,6,24,510,168,R,3.5,2,2018,3,66,8,17,0,2,88,0,0.17;1.118,0,1,PLM,2022,900000,1,-1,79,75
1002330,Cole,Caufield,USA,1997,1,2,57,165,R,4.5,2,2019,1,15,8,8,1,1,22,2022,0.8;1.112,0,2,SNP,2022,8800000,5,-1,93,89
1002332,John,Gibson,USA,1989,7,14,62,205,L,4.5,2,2011,2,39,24,53,1,1,36,2016,0.53;1.131,0,5,HYB,2022,6400000,1,-1,87,87
1002333,Cam,Fowler,CAN,1987,12,5,62,205,L,4.5,2,2010,1,12,24,23,0,1,-1,2011,0.23;1.11,0,3,TWD,2022,1000000,1,-1,79,81
1002334,Rickard,Rakell,SWE,1989,5,5,61,203,R,4.5,2,2011,1,30,24,21,2,2,67,2015,0.21;1.126,0,2;0,PLM,2022,3250000,1,-1,87,83
1002335,Hampus,Lindholm,SWE,1990,1,20,62,207,L,4.5,2,2012,1,6,24,19,1,1,70,2014,0.19;1.107,0,3,TWD,2022,3625000,2,-1,84,86
1002336,Adam,Henrique,CAN,1986,2,6,60,194,L,4,2,2008,3,82,1,100,0,2,14,2012,0.1;0,0,1;0,SNP,2022,0,0,-1,83,79
1002337,Jakob,Silfverberg,SWE,1986,10,13,61,203,R,4,2,2009,2,39,9,15,1,1,33,2013,0.15;1.104,0,2;0,TWF,2022,2000000,1,-1,79,85
1002338,Josh,Manson,USA,1987,10,7,63,214,R,4,2,2011,6,160,24,21,2,2,42,2015,0.21;1.126,0,4,DFD,2022,2350000,2,-1,78,86
1002339,Danton,Heinen,CAN,1991,7,5,61,188,L,4,2,2014,4,116,6,21,0,1,45,2018,0.21;1.126,0,0;1,TWF,2022,2300000,1,-1,79,85
1002340,Sonny,Milano,USA,1992,5,12,60,194,L,4,2,2014,1,16,29,22,2,1,12,2018,0.22;1.125,0,0;2,SNP,2022,2350000,2,-1,84,80
1002341,Erik,Gudbranson,CAN,1988,1,7,65,216,R,4,2,2010,1,3,13,5,1,3,69,2012,0.5;1.108,0,4,DFD,2022,1000000,1,-1,74,82
1002344,Troy,Terry,USA,1993,9,10,61,179,R,4,2,2015,5,148,24,3,1,2,61,2019,0.3;1.103,0,2;1,SNP,2022,4250000,6,-1,86,82
1002349,Chris,Wideman,USA,1986,1,7,510,180,R,3.5,2,2009,4,100,9,100,2,2,22,2016,0.1;0,0,4;3,OFD,2022,0,0,-1,81,75
1002354,Sam,Steel,CAN,1994,2,3,511,185,L,4,2,2016,1,30,24,4,0,1,23,2020,0.4;1.105,0,1,PLM,2022,950000,2,-1,82,78
1002355,Maxime,Comtois,CAN,1995,1,8,62,207,L,4.5,2,2017,2,50,24,24,2,2,44,2020,0.24;1.128,0,0,PWF,2022,4000000,1,-1,85,87
1002356,Kiefer,Sherwood,USA,1991,3,21,60,194,R,3.5,2,0,0,0,0,100,1,1,44,2019,0.1;0,0,2;1,TWF,2022,0,0,-1,74,80
1002357,Brendan,Guhle,CAN,1993,7,29,62,196,L,3.5,2,2015,2,51,7,100,2,2,-1,2020,0.1;0,0,3,TWD,2022,0,0,-1,76,78
1002358,Max,Jones,USA,1994,2,17,63,220,L,3.5,2,2016,1,24,24,2,1,2,49,2019,0.2;1.101,0,0,PWF,2022,925000,1,-1,78,80
1002359,Jacob,Larsson,SWE,1993,4,29,62,190,L,3.5,2,2015,1,27,24,100,0,1,33,2019,0.1;0,0,3,DFD,2022,0,0,-1,73,81
1002360,Josh,Mahura,CAN,1994,5,5,60,185,L,4,2,2016,3,85,24,100,2,1,-1,2021,0.1;0,0,3,TWD,2022,0,0,-1,78,80
1002362,Isac,Lundeström,SWE,1995,11,6,60,187,L,4,2,2018,1,23,24,23,1,1,21,2020,0.23;1.11,0,1;0,TWF,2022,3500000,1,-1,80,86
1002363,Sam,Carrick,CAN,1988,2,4,60,205,R,3,2,2010,5,144,10,100,1,3,39,2020,0.1;0,0,1,TWF,2022,0,0,-1,75,81
1002364,Anthony,Stolarz,USA,1990,1,20,66,209,L,4,2,2012,2,45,4,23,1,1,32,2019,0.23;1.11,0,5,HYB,2022,1000000,1,-1,81,81
1002366,Chase,De Leo,USA,1991,10,25,59,186,L,3.5,2,2014,4,99,52,100,1,2,47,0,0.1;0,0,1,PLM,2022,0,0,-1,79,75
1002368,Trevor,Zegras,USA,1997,3,20,60,173,L,4,1,2019,1,9,24,24,1,1,11,2022,0.24;1.128,0,1;0,PLM,2022,9250000,8,-1,90,86
1002369,Axel,Andersson,SWE,1996,2,10,60,179,R,4,3,2018,2,57,6,10,1,1,-1,0,0.1;1.115,0,4,TWD,2022,875000,1,-1,75,77
1002370,Brayden,Tracey,CAN,1997,5,28,60,170,L,4,3,2019,1,29,24,8,1,2,57,0,0.8;1.112,0,0;1,PLM,2022,2000000,1,-1,83,79
